[2019-11-17 11:39:12.027390] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027520] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.027730] [debug] Original entry field count: 14
[2019-11-17 11:39:12.027921] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028090] [debug] Original entry field count: 14
[2019-11-17 11:39:12.028215] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028341] [debug] Original entry field count: 14
[2019-11-17 11:39:12.028484] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028678] [debug] Original entry field count: 14
[2019-11-17 11:39:12.028832] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.028954] [debug] Original entry field count: 14
[2019-11-17 11:39:12.029078] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.029221] [debug] Original entry field count: 15
[2019-11-17 11:39:12.029398] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.029536] [debug] Original entry field count: 15
[2019-11-17 11:39:12.029686] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.029849] [debug] Original entry field count: 15
[2019-11-17 11:39:12.029978] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.030205] [debug] Original entry field count: 14
[2019-11-17 11:39:12.030337] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.030524] [debug] Original entry field count: 15
[2019-11-17 11:39:12.030654] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.030843] [debug] Original entry field count: 14
[2019-11-17 11:39:12.030973] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.031147] [debug] Original entry field count: 14
[2019-11-17 11:39:12.031291] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.031451] [debug] Original entry field count: 14
[2019-11-17 11:39:12.031610] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.031783] [debug] Original entry field count: 14
[2019-11-17 11:39:12.031913] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032033] [debug] Original entry field count: 14
[2019-11-17 11:39:12.032157] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032280] [debug] Original entry field count: 14
[2019-11-17 11:39:12.032402] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032522] [debug] Original entry field count: 15
[2019-11-17 11:39:12.032648] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.032768] [debug] Original entry field count: 15
[2019-11-17 11:39:12.032892] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033014] [debug] Original entry field count: 15
[2019-11-17 11:39:12.033138] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033260] [debug] Original entry field count: 14
[2019-11-17 11:39:12.033382] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033503] [debug] Original entry field count: 14
[2019-11-17 11:39:12.033626] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033746] [debug] Original entry field count: 14
[2019-11-17 11:39:12.033869] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.033991] [debug] Original entry field count: 14
[2019-11-17 11:39:12.034113] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034235] [debug] Original entry field count: 15
[2019-11-17 11:39:12.034357] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034477] [debug] Original entry field count: 14
[2019-11-17 11:39:12.034600] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034723] [debug] Original entry field count: 13
[2019-11-17 11:39:12.034843] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.034965] [debug] Original entry field count: 15
[2019-11-17 11:39:12.035087] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035206] [debug] Original entry field count: 15
[2019-11-17 11:39:12.035327] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035446] [debug] Original entry field count: 14
[2019-11-17 11:39:12.035567] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035727] [debug] Original entry field count: 14
[2019-11-17 11:39:12.035861] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.035985] [debug] Original entry field count: 14
[2019-11-17 11:39:12.036108] [debug] Cleaned entry field count: 7
[2019-11-17 11:39:12.036318] [debug] Original entry field count: 15
